owner,name,fullName,numberOfStars,country,language
phacility,lightgallery.js,phacility/lightgallery.js,9906,,PHP
handsontable,lightslider,handsontable/lightslider,9892,,JavaScript
WordPress,MagicIndicator,WordPress/MagicIndicator,9890,,PHP
impress,tray,impress/tray,9866,,JavaScript
thejameskyle,mp4parser,thejameskyle/mp4parser,9856,,JavaScript
jhipster,R.swift,jhipster/R.swift,9829,,JavaScript
dotnet,pundit,dotnet/pundit,9812,,C#
salomonelli,hubot,salomonelli/hubot,9802,,CSS
google,deep-photo-styletransfer,google/deep-photo-styletransfer,9730,,Java
hapijs,react-redux-starter-kit,hapijs/react-redux-starter-kit,9709,,JavaScript
spree,RestKit,spree/RestKit,9708,,Ruby
OpenEmu,UpUp,OpenEmu/UpUp,9686,,Objective-C
Realm,annyang,Realm/annyang,9664,,Java
phalcon,octopress,phalcon/octopress,9633,,PHP
dotnet,css-protips,dotnet/css-protips,9624,,C#
PHPMailer,pandoc,PHPMailer/pandoc,9622,,PHP
Zeit,sharetribe,Zeit/sharetribe,9622,,JavaScript
Automattic,spring-boot-microservices,Automattic/spring-boot-microservices,9616,,JavaScript
vuetifyjs,react-konva,vuetifyjs/react-konva,9600,,
tensorflow,mailtrain,tensorflow/mailtrain,9593,,
substack,chroma,substack/chroma,9562,,JavaScript
rackt,node-github,rackt/node-github,9547,,JavaScript
css-modules,webpack-howto,css-modules/webpack-howto,9522,,
JuliaLang,PowerShell,JuliaLang/PowerShell,9519,,Julia
date-fns,Become-A-Full-Stack-Web-Developer,date-fns/Become-A-Full-Stack-Web-Developer,9473,,JavaScript
cmderdev,structor,cmderdev/structor,9438,,PowerShell
caskroom,react-ui-builder,caskroom/react-ui-builder,9435,,Ruby
googlesamples,PSTCollectionView,googlesamples/PSTCollectionView,9428,,Java
powerline,mobile-detect.js,powerline/mobile-detect.js,9402,,Python
google,expvarmon,google/expvarmon,9388,,C++
dawnlabs,DropdownMenu,dawnlabs/DropdownMenu,9383,,JavaScript
reactjs,traccar,reactjs/traccar,9357,,JavaScript
goagent,MKNetworkKit,goagent/MKNetworkKit,9310,,
FelisCatus,MKStoreKit,FelisCatus/MKStoreKit,9308,,CoffeeScript
react-community,jquerytools,react-community/jquerytools,9307,,
irungentoo,guides,irungentoo/guides,9304,,C
metabase,TinyConsole,metabase/TinyConsole,9301,,Clojure
GoogleCloudPlatform,SubtlePatterns,GoogleCloudPlatform/SubtlePatterns,9285,,Go
avajs,paperclip,avajs/paperclip,9282,,JavaScript
celery,MalTrail,celery/MalTrail,9221,,Python
google,ember-simple-auth,google/ember-simple-auth,9216,,Go
redox-os,mit-deep-learning-book-pdf,redox-os/mit-deep-learning-book-pdf,9189,,Rust
sorin-ionescu,PlaceHolderView,sorin-ionescu/PlaceHolderView,9174,,Shell
libuv,devise_invitable,libuv/devise_invitable,9143,,C
fivethirtyeight,atom-keyboard-shortcuts,fivethirtyeight/atom-keyboard-shortcuts,9138,,Jupyter Notebook
google,react-virtualized,google/react-virtualized,9134,,
getgrav,Slic3r,getgrav/Slic3r,9124,,PHP
greenrobot,awesome-swift,greenrobot/awesome-swift,9115,,Java
dcloudio,fresh,dcloudio/fresh,9084,,JavaScript
google,jQuery.countdown,google/jQuery.countdown,9081,,Python
Realm,php-crud-api,Realm/php-crud-api,9079,,Swift
ethereum,iron-node,ethereum/iron-node,9047,,
stedolan,Trumbowyg,stedolan/Trumbowyg,9041,,C
go-kit,.tmux,go-kit/.tmux,9018,,Go
cakephp,android-weak-handler,cakephp/android-weak-handler,9009,,PHP
systemjs,storm,systemjs/storm,8994,,JavaScript
wekan,huhamhire-hosts,wekan/huhamhire-hosts,8994,,JavaScript
Automattic,AMWaveTransition,Automattic/AMWaveTransition,8950,,CSS
apache,Faker,apache/Faker,8944,,
jp9000,remote-working,jp9000/remote-working,8942,,C
piwik,react-howto,piwik/react-howto,8942,,PHP
Kotlin,blur-admin,Kotlin/blur-admin,8924,,Kotlin
Matt-Esch,ngx-admin,Matt-Esch/ngx-admin,8914,,JavaScript
forkingdog,jquery-modal,forkingdog/jquery-modal,8830,,Objective-C
react-community,slate,react-community/slate,8823,,JavaScript
ApolloAuto,devicons,ApolloAuto/devicons,8812,,C++
sindresorhus,work-in-australia,sindresorhus/work-in-australia,8787,,
dvajs,jQuery-Mask-Plugin,dvajs/jQuery-Mask-Plugin,8731,,JavaScript
limetext,JSQMessagesViewController,limetext/JSQMessagesViewController,8722,,
Automattic,stetho,Automattic/stetho,8711,,JavaScript
breakwa11,vlc,breakwa11/vlc,8687,,
binhnguyennus,inherited_resources,binhnguyennus/inherited_resources,8672,,
mhinz,Dante,mhinz/Dante,8664,,VimL
feathersjs,odoo,feathersjs/odoo,8634,,JavaScript
recharts,perfmap,recharts/perfmap,8622,,JavaScript
ant-design,android-flowlayout,ant-design/android-flowlayout,8618,,JavaScript
gfwlist,Terasology,gfwlist/Terasology,8594,,
Theano,OpenSSL-for-iPhone,Theano/OpenSSL-for-iPhone,8586,,Python
mishoo,knowledge-map,mishoo/knowledge-map,8570,,JavaScript
wulkano,learn-anything,wulkano/learn-anything,8568,,JavaScript
swoole,django-social-auth,swoole/django-social-auth,8538,,C
sqlitebrowser,bettercap,sqlitebrowser/bettercap,8533,,C++
raywenderlich,opensnitch,raywenderlich/opensnitch,8531,,
google,react-markdown,google/react-markdown,8530,,HTML
reactide,jquery.scrollTo,reactide/jquery.scrollTo,8503,,
golang,card,golang/card,8499,,Go
purifycss,migrations-generator,purifycss/migrations-generator,8496,,JavaScript
chrissimpkins,SocialSharing-PhoneGap-Plugin,chrissimpkins/SocialSharing-PhoneGap-Plugin,8488,,HTML
ConnorAtherton,flexbugs,ConnorAtherton/flexbugs,8451,,CSS
SVG,SwiftyUserDefaults,SVG/SwiftyUserDefaults,8426,,JavaScript
google,js-xlsx,google/js-xlsx,8424,,Go
jinzhu,gmaps,jinzhu/gmaps,8400,,Go
relax,alex,relax/alex,8384,,JavaScript
drduh,retext,drduh/retext,8378,,Python
sahat,awesome-terminal-fonts,sahat/awesome-terminal-fonts,8366,,JavaScript
activeadmin,vimium,activeadmin/vimium,8344,,Ruby
lerna,blueprint,lerna/blueprint,8329,,JavaScript
resque,Ideal-Image-Slider,resque/Ideal-Image-Slider,8321,,Ruby
ChristosChristofidis,uCrop,ChristosChristofidis/uCrop,8279,,
mitmproxy,Side-Menu.Android,mitmproxy/Side-Menu.Android,8271,,JavaScript
jordansissel,Koloda,jordansissel/Koloda,8238,,Ruby
facebookarchive,Context-Menu.Android,facebookarchive/Context-Menu.Android,8233,,Objective-C
kubernetes,StarWars.iOS,kubernetes/StarWars.iOS,8229,,
certbot,Side-Menu.iOS,certbot/Side-Menu.iOS,8214,,Python
torch,GuillotineMenu-Android,torch/GuillotineMenu-Android,8213,,C
tflearn,Euclid,tflearn/Euclid,8206,,
pouchdb,FlipViewPager.Draco,pouchdb/FlipViewPager.Draco,8193,,JavaScript
moby,PullToMakeSoup,moby/PullToMakeSoup,8191,,Go
cachethq,Taurus,cachethq/Taurus,8139,,PHP
thx,ToDoList,thx/ToDoList,8126,,JavaScript
dthree,SearchFilter,dthree/SearchFilter,8118,,JavaScript
bodymovin,freeablo,bodymovin/freeablo,8109,,JavaScript
google,PythonDataScienceHandbook,google/PythonDataScienceHandbook,8097,,JavaScript
linnovate,FLEX,linnovate/FLEX,8086,,JavaScript
derekparker,centrifugo,derekparker/centrifugo,8075,,Go
carrierwaveuploader,PromiseKit,carrierwaveuploader/PromiseKit,8068,,Ruby
getpelican,JsonDiffPatch,getpelican/JsonDiffPatch,8048,,HTML
material-components,Nuke,material-components/Nuke,8039,,JavaScript
Mantle,luvit,Mantle/luvit,8026,,Objective-C
atlassian,log4js-node,atlassian/log4js-node,8025,,
google,vault,google/vault,8022,,C++
chriso,solved-by-flexbox,chriso/solved-by-flexbox,8010,,JavaScript
docker,AdapterDelegates,docker/AdapterDelegates,7972,,Python
Itseez,redcarpet,Itseez/redcarpet,7970,,C++
v2ray,spin.js,v2ray/spin.js,7952,,Go
mpv-player,OHHTTPStubs,mpv-player/OHHTTPStubs,7933,,C
excilys,btfs,excilys/btfs,7916,,Java
Wox-launcher,sites-using-cloudflare,Wox-launcher/sites-using-cloudflare,7898,,C#
FineUploader,Console,FineUploader/Console,7865,,JavaScript
bitcoinbook,http-foundation,bitcoinbook/http-foundation,7853,,Python
paperjs,Process,paperjs/Process,7853,,JavaScript
driftyco,var-dumper,driftyco/var-dumper,7846,,HTML
getredash,polyfill-mbstring,getredash/polyfill-mbstring,7842,,Python
SFTtech,Routing,SFTtech/Routing,7840,,C++
Tim9Liu9,http-kernel,Tim9Liu9/http-kernel,7819,,
ShareX,css-selector,ShareX/css-selector,7816,,C#
horst3180,forkcms,horst3180/forkcms,7764,,CSS
typicode,trix,typicode/trix,7746,,JavaScript
ossu,vapor,ossu/vapor,7742,,
xdissent,kissui.scrollanim,xdissent/kissui.scrollanim,7720,,Shell
angular,ALCameraViewController,angular/ALCameraViewController,7719,,JavaScript
Moya,primitive,Moya/primitive,7716,,Swift
judasn,awesome-sqlalchemy,judasn/awesome-sqlalchemy,7689,,HTML
kivy,cowrie,kivy/cowrie,7668,,Python
bokeh,core,bokeh/core,7664,,CoffeeScript
