owner,name,fullName,numberOfStars,country,language
XiaoMi,open-falcon,XiaoMi/open-falcon,1590,cn,
android-cn,android-jobs,android-cn/android-jobs,1589,cn,
NLPchina,elasticsearch-sql,NLPchina/elasticsearch-sql,1584,cn,Java
xcltapestry,XCL-Charts,xcltapestry/XCL-Charts,1577,cn,Java
ongakuer,CircleIndicator,ongakuer/CircleIndicator,1573,cn,Java
moduth,BlockCanary,moduth/BlockCanary,1567,cn,Java
douban,dpark,douban/dpark,1563,cn,Python
Aufree,ESTMusicPlayer,Aufree/ESTMusicPlayer,1563,cn,Objective-C
DianQK,TransitionTreasury,DianQK/TransitionTreasury,1546,cn,Swift
weareoutman,clockpicker,weareoutman/clockpicker,1544,cn,JavaScript
qinwf,awesome-R,qinwf/awesome-R,1539,cn,R
douban,DOUAudioStreamer,douban/DOUAudioStreamer,1538,cn,Objective-C
Hilen,TSWeChat,Hilen/TSWeChat,1535,cn,
camsong,redux-in-chinese,camsong/redux-in-chinese,1533,cn,
Nightonke,WoWoViewPager,Nightonke/WoWoViewPager,1532,cn,
phodal,growth,phodal/growth,1529,cn,CSS
chiunam,CTAssetsPickerController,chiunam/CTAssetsPickerController,1528,cn,Objective-C
getqujing,qtunnel,getqujing/qtunnel,1527,cn,Go
Nightonke,BoomMenu,Nightonke/BoomMenu,1526,cn,
Frank-Zhu,PullZoomView,Frank-Zhu/PullZoomView,1518,cn,Java
ruby-china,ruby-china,ruby-china/ruby-china,1514,cn,Ruby
JohnLui,SwiftSideslipLikeQQ,JohnLui/SwiftSideslipLikeQQ,1510,cn,Swift
jianghejie,XRecyclerView,jianghejie/XRecyclerView,1508,cn,Java
atConf,atswift-2016-resources,atConf/atswift-2016-resources,1504,cn,
johnil,VVeboTableViewDemo,johnil/VVeboTableViewDemo,1501,cn,Objective-C
alibaba,anyproxy,alibaba/anyproxy,1492,cn,JavaScript
xiekw2010,react-native-gitfeed,xiekw2010/react-native-gitfeed,1490,cn,
yidao620c,python3-cookbook,yidao620c/python3-cookbook,1484,cn,Python
daimajia,AnimationEasingFunctions,daimajia/AnimationEasingFunctions,1483,cn,Java
lightningtgc,MProgress.js,lightningtgc/MProgress.js,1482,cn,JavaScript
sofish,typo.css,sofish/typo.css,1481,cn,HTML
alibaba,LuaViewSDK,alibaba/LuaViewSDK,1480,cn,Java
vnpy,vnpy,vnpy/vnpy,1479,cn,C++
rengwuxian,RxJavaSamples,rengwuxian/RxJavaSamples,1478,cn,
JohnLui,Learn-Laravel-5,JohnLui/Learn-Laravel-5,1476,cn,PHP
Jacksgong,JKeyboardPanelSwitch,Jacksgong/JKeyboardPanelSwitch,1475,cn,Java
zcweng,ToggleButton,zcweng/ToggleButton,1473,cn,Java
